<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
09.01.2020;10:00:00;110286;115041;107924;112936;46
09.01.2020;10:01:00;109619;115250;108026;109027;13
09.01.2020;10:02:00;113557;115247;107950;108663;19
09.01.2020;10:03:00;110669;115249;107988;112610;33
09.01.2020;10:04:00;112568;115227;107956;109816;49
09.01.2020;10:05:00;114920;115041;107950;109449;62
09.01.2020;10:06:00;113608;115181;107926;113418;92
09.01.2020;10:07:00;110863;115247;107996;110609;86
09.01.2020;10:08:00;113365;115217;107942;111943;92
09.01.2020;10:09:00;115005;115294;107911;115294;69
09.01.2020;10:10:00;108066;115010;108030;111258;81
09.01.2020;10:11:00;112102;114958;107954;111511;19
09.01.2020;10:12:00;112617;115283;107903;109370;87
09.01.2020;10:13:00;114838;115264;107906;113792;23
09.01.2020;10:14:00;113931;115074;107976;114943;24
09.01.2020;10:15:00;112490;115252;108232;109661;33
09.01.2020;10:16:00;109130;115267;108153;112822;35
09.01.2020;10:17:00;109835;115217;107995;112908;2
09.01.2020;10:18:00;111844;115289;108094;110231;40
09.01.2020;10:19:00;112476;115211;107931;108854;36
09.01.2020;10:20:00;109087;115198;108061;110773;49
09.01.2020;10:21:00;112143;115223;107901;110003;42
09.01.2020;10:22:00;110077;114918;108145;111115;66
09.01.2020;10:23:00;113588;115148;108161;108347;18
09.01.2020;10:24:00;110339;115238;108005;109852;65
09.01.2020;10:24:59;110184;115011;108515;112672;84
09.01.2020;10:26:00;111366;115223;107975;108880;93
09.01.2020;10:26:59;109601;115293;108039;111624;32
09.01.2020;10:28:00;109826;115269;108145;108924;56
09.01.2020;10:28:59;111507;115156;107984;108253;92
09.01.2020;10:30:00;111853;115201;108080;109134;1
09.01.2020;10:31:00;108339;115180;107942;108679;92
09.01.2020;10:32:00;111445;115059;107934;107934;93
09.01.2020;10:33:00;112452;115290;108091;114201;21
09.01.2020;10:34:00;109364;115164;108113;113262;54
09.01.2020;10:35:00;110448;115275;107950;108558;2
09.01.2020;10:36:00;109945;115272;108279;113889;67
09.01.2020;10:37:00;113492;115227;107947;112633;25
09.01.2020;10:38:00;113631;115261;107954;112409;35
09.01.2020;10:39:00;111719;114990;108264;108664;37
09.01.2020;10:40:00;109800;115164;107984;110220;67
09.01.2020;10:41:00;110244;115239;108336;111582;33
09.01.2020;10:42:00;112672;115220;108221;108708;44
09.01.2020;10:43:00;110577;115272;108040;108430;16
09.01.2020;10:44:00;110449;115108;108000;114521;64
09.01.2020;10:45:00;109486;115177;108119;109200;62
09.01.2020;10:46:00;115263;115281;108159;113153;8
09.01.2020;10:47:00;109417;115167;108007;115099;89
09.01.2020;10:48:00;112714;115198;107926;112199;91
09.01.2020;10:49:00;112515;115296;108306;110315;32
09.01.2020;10:50:00;109271;115295;108034;115295;89
09.01.2020;10:51:00;112872;115240;107996;111427;35
09.01.2020;10:52:00;112409;115104;107932;110289;69
09.01.2020;10:53:00;113458;115180;108080;111700;23
09.01.2020;10:54:00;113994;115247;107914;114301;57
09.01.2020;10:55:00;114194;115282;108019;108644;71
09.01.2020;10:56:00;109773;115271;107933;107968;72
09.01.2020;10:57:00;114519;115235;107909;107909;30
09.01.2020;10:58:00;109041;114946;108175;108216;10
09.01.2020;10:59:00;109967;115256;108001;111239;25
09.01.2020;11:00:00;113387;115266;107945;108652;53
09.01.2020;11:01:00;115092;115283;107968;113346;77
09.01.2020;11:02:00;110240;115229;107978;111854;91
09.01.2020;11:03:00;114307;115281;108132;114387;46
09.01.2020;11:04:00;115245;115258;107967;112530;57
